# Attested inflected forms and the lemma each belongs to.
# Consulted before any rule runs: a form that is listed here needs no
# analysis, and the rules only handle what is missing. Verb lemmas are
# the bare stem, not the -moq infinitive, so lookup and rules agree.
# GENERATED from uzbek_morph uzbek_unified.txt (Salaev, MIT). Do not hand-edit.
# surface<TAB>lemma
abadiylaştirmoq	abadiylaştir
abstraktlamoq	abstraktla
abstraktlaştirmoq	abstraktlaştir
abzallamoq	abzalla
acciqlanişmoq	acciqlaniş
acciqlanmoq	acciqlan
acciqlantirmoq	acciqlantir
acciqlaşmoq	acciqlaş
acimoq	aci
acinişmoq	aciniş
acinmoq	acin
acintirmoq	acintir
acitmoq	acit
acişmoq	aciş
aciştirmoq	aciştir
acomlamoq	acomla
acomlaşmoq	acomlaş
adabiyotda	adabiyot
adabiyotdan	adabiyot
adabiyotga	adabiyot
adabiyoti	adabiyot
adabiyotida	adabiyot
adabiyotidan	adabiyot
adabiyotiga	adabiyot
adabiyotim	adabiyot
adabiyotimda	adabiyot
adabiyotimdan	adabiyot
adabiyotimga	adabiyot
adabiyotimiz	adabiyot
adabiyotimizda	adabiyot
adabiyotimizdan	adabiyot
adabiyotimizga	adabiyot
adabiyotimizni	adabiyot
adabiyotimizning	adabiyot
adabiyotimni	adabiyot
adabiyotimning	adabiyot
adabiyoting	adabiyot
adabiyotingda	adabiyot
adabiyotingdan	adabiyot
adabiyotingga	adabiyot
adabiyotingiz	adabiyot
adabiyotingizda	adabiyot
adabiyotingizdan	adabiyot
adabiyotingizga	adabiyot
adabiyotingizni	adabiyot
adabiyotingizning	adabiyot
adabiyotingni	adabiyot
adabiyotingning	adabiyot
adabiyotini	adabiyot
adabiyotining	adabiyot
adabiyotlar	adabiyot
adabiyotlarda	adabiyot
adabiyotlardan	adabiyot
adabiyotlarga	adabiyot
adabiyotlari	adabiyot
adabiyotlarida	adabiyot
adabiyotlaridan	adabiyot
adabiyotlariga	adabiyot
adabiyotlarim	adabiyot
adabiyotlarimda	adabiyot
adabiyotlarimdan	adabiyot
adabiyotlarimga	adabiyot
adabiyotlarimiz	adabiyot
adabiyotlarimizda	adabiyot
adabiyotlarimizdan	adabiyot
adabiyotlarimizga	adabiyot
adabiyotlarimizni	adabiyot
adabiyotlarimizning	adabiyot
adabiyotlarimni	adabiyot
adabiyotlarimning	adabiyot
adabiyotlaring	adabiyot
adabiyotlaringda	adabiyot
adabiyotlaringdan	adabiyot
adabiyotlaringga	adabiyot
adabiyotlaringiz	adabiyot
adabiyotlaringizda	adabiyot
adabiyotlaringizdan	adabiyot
adabiyotlaringizga	adabiyot
adabiyotlaringizni	adabiyot
adabiyotlaringizning	adabiyot
adabiyotlaringni	adabiyot
adabiyotlaringning	adabiyot
adabiyotlarini	adabiyot
adabiyotlarining	adabiyot
adabiyotlarni	adabiyot
adabiyotlarning	adabiyot
adabiyotni	adabiyot
adabiyotning	adabiyot
adaşmoq	adaş
adaştirmoq	adaştir
adiplamoq	adipla
