# Stem allomorphs: the shape a stem takes under inflection, and the lemma.
# Covers the two morphophonemic processes a suffix-stripper cannot undo on
# its own: the dropped vowel (ayir+il -> ayril, so 'ayr' must resolve to
# 'ayir') and voicing of a final voiceless stop (tilak+im -> tilagim).
# GENERATED from UzbekInflectionalWords (Sharipov, MIT). Do not hand-edit.
# inflected_stem<TAB>lemma[,lemma...]
acc	acciq,aci
ang	angla,anglamoq,ong
at	ata,ot
avzoy	avzo
ayr	ayir,ayrim
bagr	bagir
bilag	bilak
bolalig	bolalik
boyo	boya,boyoq
buk	bukkan
bun	bu,buni
burn	burun
buyr	buyruq,buyur
cirog	ciroq
cuvv	cuv,cuvvos
dey	de,demoq
etig	etik
fann	fan,fanniy
gurr	gur,gurrak
hadd	had,haddingiz
haqq	haq,haqqim
hiss	his,hissiy
hongr	hongir,hongra
ikk	ikki
ingr	ingir,ingra
iss	is,issiq
jizz	jiz,jizza
kongl	kongil
kurag	kurak
mavqey	mavqe
mavzuy	mavzu
obroy	obro
ogl	ogil
ogz	ogiz,ogzaki
olt	olti
oqu	oqi,oquv
orn	orin,orna
oyn	oyin,oyna
oşan	oşa,oşani
parvoy	parvo
pas	pasay,past
qatt	qati,qattiq
qayno	qayna,qaynoq
qayr	qayir
qiyn	qiyin,qiyna
qiz	qizar,qizil
qişlog	qişloq
qorn	qorin
qulog	quloq
robb	rob,robbim
san	sana,sanaş,son
sarg	sargay,sariq
sass	sasi,sassiq
sayl	sayla,saylov
sayro	sayra,sayroqi
singl	singil
soro	sora,soroq
sus	susay,sust
suyuklig	suyulik
tanlo	tanla,tanlov
taqq	taq,taqqa
tarqo	tarqa,tarqoq
terag	terak
teşig	teşik
tibb	tib,tibbiy
tilag	tilak
tirgag	tirgak
tomog	tomoq
toqu	toqi
tovug	tovuq
tuynug	tuynuk
ulg	ulgay,ulug
un	u,uni
varr	var,varrak
vovu	vov,vovulla
xurr	xurrak
yaş	yaşa,yoş
yett	yetti
yey	ye,yemoq
yig	yigi,yigla
yoq	yoqqic
yoşlig	yoşlik
yurag	yurak
zahr	zahar
şahr	şahar
şarr	şar,şarros
şartt	şart,şartta
şovu	şov,şovulla
şun	şu,şuni
